A:<Dt,19261>
B:<AG,17223>
C:<Do,8581>
D:<Do,11671>
E:<A3,6070>
F:<Ao,34940>
G:<Ag,9969>
H:<C4,3180>
I:<Bh,32248>
J:<Do,39796>
A:<B0,11964>
B:<DU,16160>
C:<CZ,6409>
D:<B0,11106>
E:<Dq,8601>
F:<CS,49344>
G:<DA,10775>
H:<Dq,2092>
I:<Ao,22096>
J:<DE,41054>
A:<Ce,15121>
B:<DU,24221>
C:<DA,6250>
D:<Ak,10323>
E:<Du,5568>
F:<CK,34047>
G:<B0,10646>
H:<4,2992>
I:<Be,23312>
J:<Be,37494>
A:<Bb,12804>
B:<AG,15743>
C:<CF,5777>
D:<B7,11501>
E:<Ar,7515>
F:<CF,63096>
G:<DF,9761>
H:<Du,3427>
I:<Db,32385>
J:<AJ,31812>
A:<Cq,11204>
B:<AF,17188>
C:<AJ,5831>
D:<Do,9453>
E:<Bv,4872>
F:<CP,32024>
G:<Cb,7260>
H:<CS,3123>
I:<C,26458>
J:<C9,28230>
A:<Br,12083>
B:<CS,15832>
C:<AV,5120>
D:<AV,6419>
E:<BV,6115>
F:<C4,67657>
G:<Bb,6275>
H:<DE,2533>
I:<C8,26195>
J:<AV,33670>
A:<BW,15315>
B:<AF,18072>
C:<Ar,7362>
D:<Du,5077>
E:<A7,5207>
F:<CK,34671>
G:<A,9736>
H:<AJ,3058>
I:<Bh,20181>
J:<Bt,28844>
A:<Dm,12342>
B:<AD,14792>
C:<CB,4372>
D:<DA,6297>
E:<A3,4925>
F:<Do,43420>
G:<Bx,6885>
H:<Ar,1886>
I:<B,21815>
J:<Bt,31539>
A:<DZ,11614>
B:<AG,15180>
C:<AV,7290>
D:<Ce,4262>
E:<Dr,5169>
F:<CK,25599>
G:<B7,7249>
H:<Cz,1721>
I:<Ak,24406>
J:<B0,24738>
A:<Ab,10673>
B:<Ab,12317>
C:<C9,7296>
D:<A7,6115>
E:<B0,6042>
F:<P,45691>
G:<C8,6401>
H:<B0,2308>
I:<D,24728>
J:<CZ,29221>
A:<Cq,8151>
B:<DV,18662>
C:<Dq,7315>
D:<Cb,5749>
E:<Cg,4887>
F:<Bb,20093>
G:<D,7830>
H:<Du,1610>
I:<Ar,14424>
J:<Du,18355>
A:<BW,10562>
B:<AG,13526>
C:<CB,3835>
D:<B,7172>
E:<Ar,3366>
F:<Dp,39300>
G:<Cb,6349>
H:<CH,1430>
I:<C8,16815>
J:<C,23237>
A:<D,10103>
B:<Dw,19570>
C:<C8,10366>
D:<Dq,5214>
E:<BR,7182>
F:<AG,49022>
G:<Ag,8665>
H:<Do,1791>
I:<Bo,15056>
J:<A,18163>
A:<Dh,10594>
B:<Q,19174>
C:<Ar,8095>
D:<Ak,6111>
E:<DE,9455>
F:<CP,58488>
G:<Cq,5099>
H:<DD,1901>
I:<BC,22732>
J:<C9,17596>
A:<DD,10783>
B:<CT,12527>
C:<CZ,8373>
D:<Ar,4442>
E:<Bv,5073>
F:<CF,21350>
G:<Do,6998>
H:<Ag,1097>
I:<BW,20679>
J:<D,26062>
A:<B0,9416>
B:<CT,9941>
C:<AS,7466>
D:<Ar,4573>
E:<DF,2983>
F:<AG,20453>
G:<B,7075>
H:<B0,1275>
I:<DZ,13790>
J:<Do,24102>
A:<Bt,11086>
B:<DV,14592>
C:<Ab,6989>
D:<Cg,4047>
E:<B0,5282>
F:<CS,15532>
G:<B,6887>
H:<C9,1568>
I:<Ao,16219>
J:<CF,15399>
A:<Bh,7062>
B:<Dw,11816>
C:<Cg,5820>
D:<B,3973>
E:<DE,3164>
F:<Ao,17478>
G:<DE,4934>
H:<C8,1728>
I:<Be,12880>
J:<Cb,15519>
A:<CZ,7861>
B:<Dw,11191>
C:<DA,3850>
D:<Ar,3810>
E:<A7,3406>
F:<Dp,9369>
G:<Ar,4015>
H:<DE,1060>
I:<AS,15468>
J:<Bx,12513>
A:<Ao,10884>
B:<CT,9723>
C:<DD,5279>
D:<B,4125>
E:<BR,2791>
F:<CK,9893>
G:<A,5804>
H:<Cz,1237>
I:<Dp,15766>
J:<Ar,15657>
A:<Br,8719>
B:<DU,12137>
C:<C8,6910>
D:<A7,3116>
E:<Ag,2900>
F:<Cz,9613>
G:<CZ,5321>
H:<DE,719>
I:<DE,15086>
J:<DZ,18114>
A:<Be,10035>
B:<Dw,9689>
C:<AJ,3628>
D:<DE,4054>
E:<Du,1994>
F:<CP,6468>
G:<CF,3662>
H:<CG,792>
I:<B,12153>
J:<BW,14435>
A:<Ar,8245>
B:<Dn,8470>
C:<Cz,2529>
D:<AJ,2377>
E:<Bv,2436>
F:<CF,6873>
G:<Bv,3557>
H:<Cz,689>
I:<Dm,11594>
J:<Dx,11809>
A:<Ce,8131>
B:<Dn,6133>
C:<AV,1902>
D:<C8,2836>
E:<BV,2507>
F:<CF,8291>
G:<DE,3623>
H:<B0,536>
I:<Dp,12145>
J:<BV,8389>
A:<Do,6954>
B:<Dw,7626>
C:<CB,2228>
D:<Ab,3713>
E:<Ar,4644>
F:<Q,16498>
G:<B7,2842>
H:<Dq,940>
I:<Dq,10229>
J:<DE,9347>
A:<CZ,4479>
B:<AF,5292>
C:<Ag,1863>
D:<Ce,2675>
E:<DD,3881>
F:<AJ,14968>
G:<Ag,3447>
H:<DF,1114>
I:<Bt,10366>
J:<C,11432>
A:<Dj,6284>
B:<P,4958>
C:<Do,2108>
D:<Bb,3500>
E:<Cg,2409>
F:<AJ,14088>
G:<Bb,2737>
H:<Ao,704>
I:<Du,6665>
J:<Do,9452>
A:<DF,6701>
B:<Q,7921>
C:<Ab,1900>
D:<Ce,2140>
E:<DF,3563>
F:<Bb,15904>
G:<DF,2755>
H:<Ab,715>
I:<Dh,9120>
J:<Bt,7500>
A:<AJ,4610>
B:<CT,4378>
C:<Dq,2252>
D:<B,1784>
E:<Cg,3189>
F:<Dn,10668>
G:<Ak,2340>
H:<B0,1156>
I:<Cz,8139>
J:<Do,7809>
A:<Ar,6392>
B:<AD,7078>
C:<E,1645>
D:<E,1754>
E:<BR,2286>
F:<AG,7810>
G:<AS,2385>
H:<CG,939>
I:<AJ,8885>
J:<AV,7584>
A:<Cb,6081>
B:<DU,4326>
C:<B8,1915>
D:<AV,2329>
E:<A3,2773>
F:<CF,7758>
G:<Ak,2869>
H:<DD,622>
I:<CZ,9832>
J:<Dm,7636>
A:<Bb,4583>
B:<Dn,5752>
C:<E,2174>
D:<Ag,2399>
E:<Dq,2792>
F:<Ao,7036>
G:<Dq,2808>
H:<Ag,646>
I:<Cz,6117>
J:<Ce,6223>
A:<Ab,4267>
B:<Dn,5784>
C:<DF,2020>
D:<Ar,1989>
E:<Cg,2283>
F:<BM,6040>
G:<Dt,1564>
H:<CG,457>
I:<BM,4904>
J:<B0,8838>
A:<Bb,5515>
B:<Dn,5461>
C:<C8,1362>
D:<C9,2679>
E:<Ar,1505>
F:<P,4702>
G:<E,2166>
H:<C8,420>
I:<AS,6805>
J:<Bv,6868>
A:<D,4297>
B:<DU,3580>
C:<Ab,1641>
D:<CB,2382>
E:<DD,1919>
F:<Q,3803>
G:<Bv,1270>
H:<C8,330>
I:<Dq,5940>
J:<AV,6289>
A:<Be,4449>
B:<AG,2851>
C:<Cg,1357>
D:<Bb,2531>
E:<Dq,2042>
F:<Ao,3728>
G:<DF,1674>
H:<B0,291>
I:<A,5486>
J:<DE,6971>
A:<Db,3076>
B:<Ab,3361>
C:<Ak,1503>
D:<B,2162>
E:<Dr,3882>
F:<Ab,9082>
G:<Cb,1781>
H:<Du,492>
I:<Dt,6913>
J:<Db,8246>
A:<BW,3046>
B:<Dw,4383>
C:<B7,1685>
D:<Cz,1778>
E:<Ao,3401>
F:<AG,7988>
G:<AV,2246>
H:<C4,497>
I:<Bb,4712>
J:<D,7600>
A:<Bh,3694>
B:<CS,2835>
C:<AV,1491>
D:<C8,1904>
